game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
33,1016,AFBGaming,Lucky Frog,slot,9985,,,1,d/m,provider_absent
14,1019,YeeBet,Gravity Blackjack IBJ01,casino,9985,,,1,d/m,provider_absent
51,1021,OGLive,RNG017 SPEED BACCARAT,casino,9985,,,1,d/m,provider_absent+no_php_usd
124,1026,Rich88,88 CaiShen,slot,9985,,,1,d/m,provider_absent
14,1030,DreamGaming,FanTan Roulette,casino,9985,,,0,d/m,provider_absent
96,1032,RelaxGaming,The Tumbles,slot,9985,,,1,d/m,provider_absent
19,1036,Live22,Into the Fay: Nixie,slot,9985,,,1,d/m,provider_absent
4,1041,93connect,ATOM,lottery,9985,,,1,"d,m",provider_absent
584,1042,KAGaming,No Fly Zone,fishing,9985,,,1,"d,m",game_absent
19,1043,WCasino, Baccarat 201,casino,9985,,,1,"d,m",provider_absent
29,1045,MikiWorld,RngAndarBahar,casino,9985,,,1,"d,m",provider_absent
41,1047,GamePlaySlot,Fortune Dice,slot,9985,,,1,"d,m",provider_absent
6,1048,GamePlayLiveCasino,No Commission Baccarat 2,casino,9985,,,1,"d,m",provider_absent
15,1050,BoleGaming,Bole Texas Hold'em Poker,poker,9985,,,1,"d,m",provider_absent
39,1054,LambdaGaming,Super 7 Wild: 100 lines,slot,9985,,,1,d/m,provider_absent
25,1056,Phoenix7,BUZZING BEES,slot,9985,,,1,d/m,provider_absent
41,1057,CC88,Zhao Cai Jin Bao,slot,9985,,,1,d/m,provider_absent
144,1058,JDB,Mahjong Ways Deluxe,slot,9985,,,1,d/m,game_absent
50,1059,ClotPlay,Inca Zuma,slot,9985,,0,1,d/m,provider_absent
82,1060,PegasusSlot,LionLegend,slot,9985,,,1,d/m,provider_absent
48,1062,DragoonSoft,Phoenix,slot,9985,,,1,"d,m",provider_absent
27,1064,ViaCasino,Blockchain Viet FishShrimpCrab,fishing,9985,,,1,d/m,provider_absent
55,1066,Nextspin,Legend of Guan Gong,slot,9985,,,1,d/m,provider_absent
174,1067,Booongo,3 Coin Volcanoes: Hit the Bonus,slot,9985,,,1,d/m,game_absent
78,1068,TomHorn,Candy Coins,slot,9985,,,1,d/m,provider_absent
15,1072,Spribe,Neo Vegas,slot,9985,,,1,d/m,game_absent
26,1075,PoggiPlay,Chicken Run,other,9985,,,1,d/m,provider_absent
63,1079,Fastspin,Boxing Fury,slot,9985,,,1,d/m,provider_absent
63,1081,Apollo,Wolf Gold,slot,9985,,,1,"d,m",provider_absent
38,1082,Vgaming,Cybertron War,slot,9985,,,1,"d,m",provider_absent
22,1084,SPlus,Dragon King,slot,9985,,,1,"d,m",provider_absent
58,1085,VAGaming,Gates of Inca Queen,slot,9985,,,1,d/m,provider_absent
20,1088,Ezugi,Roulette Portomaso,casino,9985,,,1,d/m,provider_absent
77,1089,RoyalSlotGaming,Legend of Lu Bu,slot,9985,,,1,"d,m",provider_absent
7,1091,IDNSlot,Pirates Of Malacca,slot,9985,,,1,d/m,provider_absent
13,1092,IDNLive,Dragon Tiger,casino,9985,,,1,d/m,provider_absent
7,1098,MikiWorldLiveCasino,Amethyst Baccarat,casino,9985,,,0,d/m,provider_absent
146,1102,BNG,3 Egypt Chests: Hold and Win,slot,9985,,,1,d/m,game_absent
56,5,BigGaming,Bull Bull B07,casino,9984,,,1,d/m,provider_absent
15,7,SexyGaming,SexyBaccarat02,casino,9984,,,1,d/m,provider_absent
39,10,JokerGaming,Dragon Power Flame,slot,9984,,,1,d/m,provider_absent
845,13,WorldMatch,EL SUE�O DE ANTONIO Y ERANDI,slot,9984,,,1,d/m,provider_absent
3,14,SBOSlot,Jurassic�Park,slot,9984,,,1,d/m,provider_absent+no_php_usd
326,16,FunkyGames,Golden Sun Aztec,slot,9984,,,1,d/m,game_absent
20,29,MicroGaming,Queen of Alexandria,slot,9984,,,1,d/m,provider_absent
2,1009,MPoker,Banker Niu Niu,casino,9984,,,1,d/m,provider_absent
38,1012,TCGaming,Thai Binh,lottery,9984,,,1,"d,m",provider_absent
38,1016,AFBGaming,Crazy Gold,slot,9984,,,1,d/m,provider_absent
15,1019,YeeBet,Speed Blackjack IBJ02,casino,9984,,,1,d/m,provider_absent
55,1021,OGLive,M7  BACCARAT,casino,9984,,,1,d/m,provider_absent+no_php_usd
41,1026,Rich88,777,slot,9984,,0,1,"d,m",provider_absent
15,1030,DreamGaming,blockchain baccarat,casino,9984,,,1,d/m,provider_absent
33,1032,RelaxGaming,Templar Tumble,slot,9984,,,1,"d,m",provider_absent
69,1036,Live22,Space Quest: Neptune,slot,9984,,,1,d/m,provider_absent
24,1041,93connect,KENO MINI,lottery,9984,,,1,"d,m",provider_absent
556,1042,KAGaming,Legend of Erlang,fishing,9984,,,1,"d,m",game_absent
27,1043,WCasino,Roulette 01,casino,9984,,,1,"d,m",provider_absent
14,1045,MikiWorld,RngDragonTiger,casino,9984,,,1,"d,m",provider_absent
31,1047,GamePlaySlot,777 Golden Wheel,slot,9984,,,1,"d,m",provider_absent
7,1048,GamePlayLiveCasino,No Commission Baccarat 3,casino,9984,,,1,"d,m",provider_absent
58,1050,BoleGaming,Hundred-Player Niu Niu,casino,9984,,,1,d/m,provider_absent
41,1054,LambdaGaming,Sugar Sweets,other,9984,,,1,d/m,provider_absent
9,1056,Phoenix7,MAI TAI PUNCH,slot,9984,,,1,"d,m",provider_absent
20,1057,CC88,Funky Monkey,slot,9984,,,1,d/m,provider_absent
32,1059,ClotPlay,Boxing VS Muay Thai,slot,9984,,,1,d/m,provider_absent
87,1060,PegasusSlot,Fortune Panda,slot,9984,,,1,d/m,provider_absent
2,1062,DragoonSoft,Let's Shoot,fishing,9984,,,1,"d,m",provider_absent
1,1064,ViaCasino,Via Casino Lobby,lobby,9984,,,1,"d,m",provider_absent
62,1065,NagaGames,Las Vegas Party,slot,9984,,,1,d/m,provider_absent
65,1066,Nextspin,Treasure of Atlantis,slot,9984,,,1,d/m,provider_absent
33,1068,TomHorn,Fruits Go Pop!,slot,9984,,,1,"d,m",provider_absent
22,1072,Spribe,Reckless Pirates,slot,9984,,,1,d/m,game_absent
37,1075,PoggiPlay,Bunny and Clyde,slot,9984,,,1,d/m,provider_absent
43,1078,LuckyMonaco,Buddha's Treasure,slot,9984,,,1,d/m,provider_absent
75,1079,Fastspin,Vegas Hot Fruit,slot,9984,,,1,d/m,provider_absent
68,1081,Apollo,Battle Chess,slot,9984,,,1,"d,m",provider_absent
3,1082,Vgaming,Nightclub Lady,slot,9984,,,1,"d,m",provider_absent
2,1084,SPlus,Gods of Honour,slot,9984,,,1,"d,m",provider_absent
59,1085,VAGaming,Mahjong Self-Drawn Win 5,slot,9984,,,1,d/m,provider_absent
11,1088,Ezugi,BetonTeenPatti,other,9984,,,1,d/m,provider_absent
89,1089,RoyalSlotGaming,Power of Thor II:Thunder Storm,slot,9984,,,1,d/m,provider_absent
8,1091,IDNSlot,Food Court 777,slot,9984,,,1,d/m,provider_absent
14,1092,IDNLive,Dragon Tiger Wild,casino,9984,,,1,d/m,provider_absent
8,1098,MikiWorldLiveCasino,Prosperity Baccarat,casino,9984,,,0,d/m,provider_absent
148,1102,Platipus Gaming,3 Fortune Pots,slot,9984,,,1,d/m,provider_absent
57,5,BigGaming,Win Three Cards A29,poker,9983,,,1,d/m,provider_absent
16,7,SexyGaming,SexyBaccarat03,casino,9983,,,1,d/m,provider_absent
182,10,JokerGaming,Mythological,slot,9983,,,1,d/m,provider_absent
805,13,WorldMatch,Disco Baby,slot,9983,,,1,d/m,provider_absent
103,14,SBOSlot,Aladdin,slot,9983,,,1,d/m,provider_absent+no_php_usd
176,16,FunkyGames,Roma,slot,9983,,,1,d/m,game_absent
348,22,Yggdrasil,XMAS Pop Delight,slot,9983,,,1,d/m,game_absent
589,29,MicroGaming,Nova Blast Ultra,slot,9983,,,1,d/m,provider_absent
27,1009,MPoker,Gao Gae 3 Cards,casino,9983,,,1,d/m,provider_absent
53,1012,TCGaming,Singapore 4D,lottery,9983,,,1,d/m,provider_absent
100,1016,AFBGaming,Invite Cai Shen,slot,9983,,,1,d/m,provider_absent
16,1019,YeeBet,Take Deal or Risk Blackjack IBJ03,casino,9983,,,1,d/m,provider_absent
47,1021,OGLive,M3 SPEED BACCARAT,casino,9983,,,1,"d,m",provider_absent+no_php_usd
122,1026,Rich88,Western Sheriff,slot,9983,,,1,d/m,provider_absent
16,1030,DreamGaming,blockchain DragonTiger,casino,9983,,,1,d/m,provider_absent
41,1032,RelaxGaming,Money Cart 2,slot,9983,,,1,"d,m",provider_absent
71,1036,Live22,God's Gambit: Poseidon,slot,9983,,,1,d/m,provider_absent
5,1041,93connect,ATOM WAR,lottery,9983,,,1,"d,m",provider_absent
805,1042,KAGaming,777 Kickoff,slot,9983,,,1,d/m,game_absent
28,1043,WCasino,Super Dragon Tiger 221,casino,9983,,,1,"d,m",provider_absent
20,1045,MikiWorld,RngSedie,casino,9983,,,1,"d,m",provider_absent
29,1047,GamePlaySlot,Fortune Tree,slot,9983,,,1,"d,m",provider_absent
