game_id,game_provider_id,provider,name_en,site_cat,eff_weight,ov_weight,ov_featured,is_enabled,device,reason
47,1088,,Manga Madness,casino,9951,,,0,d/m,厂商名脏数据()
40,1099,0,3Min Surat PICK5,lottery,9951,,,1,"d,m",厂商名脏数据(0)
30,1065,,Rave On,slot,9950,,,1,d/m,厂商名脏数据()
38,1083,,God of Coins,slot,9950,,,1,"d,m",厂商名脏数据()
52,1085,,Arcane Dragon,slot,9950,,,1,d/m,厂商名脏数据()
48,1088,,Imperial Fortune,casino,9950,,,0,d/m,厂商名脏数据()
41,1099,0,3Min Kanpur PICK5,lottery,9950,,,0,"d,m",厂商名脏数据(0)
39,1083,,Wild White Whale,slot,9949,,,1,"d,m",厂商名脏数据()
49,1088,,Diwali Auto Roulette,casino,9949,,,1,d/m,厂商名脏数据()
42,1099,0,3Min Hyderabad PICK5,lottery,9949,,,0,"d,m",厂商名脏数据(0)
20,1065,,Amazing Circus,slot,9948,,,1,d/m,厂商名脏数据()
40,1083,,Zombie Apocalypse,slot,9948,,,1,"d,m",厂商名脏数据()
34,1085,,Gem Gala,slot,9948,,,1,"d,m",厂商名脏数据()
50,1088,,Halloween Auto Roulette,casino,9948,,,1,d/m,厂商名脏数据()
44,1099,0,TW TAIEX Matka,lottery,9948,,,1,"d,m",厂商名脏数据(0)
14,1065,,Steampunk Reloaded,slot,9947,,,1,d/m,厂商名脏数据()
45,1083,,Leprechaun Wish,slot,9947,,,1,"d,m",厂商名脏数据()
49,1085,,Wild Tyrannosaurus,slot,9947,,,0,d/m,厂商名脏数据()
51,1088,,EZ Dealer Roulette Diwali,casino,9947,,,1,d/m,厂商名脏数据()
45,1099,0,DOW JONES Matka,lottery,9947,,,1,"d,m",厂商名脏数据(0)
47,1083,,Super Heli,other,9946,,,0,"d,m",厂商名脏数据()
41,1085,,Raging Bison,slot,9946,,,0,"d,m",厂商名脏数据()
46,1099,0,NASDAQ Matka,lottery,9946,,,1,"d,m",厂商名脏数据(0)
32,1065,,Run Pug Run,slot,9945,,,1,d/m,厂商名脏数据()
48,1083,,Win & Go,other,9945,,,0,"d,m",厂商名脏数据()
42,1085,,Long Long Long III,slot,9945,,,0,"d,m",厂商名脏数据()
47,1099,0,10-Min Speed ??Matka,lottery,9945,,,1,"d,m",厂商名脏数据(0)
51,1083,,Wild West Spirit,casino,9944,,,1,"d,m",厂商名脏数据()
44,1085,,Robin Hood,slot,9944,,,0,"d,m",厂商名脏数据()
48,1099,0,4Min Speed ??Matka,lottery,9944,,,1,"d,m",厂商名脏数据(0)
