id,gameId,name,platformName,gameType,imageUrl,localImage
"14263","bjl;bjl_soireebj4","Blackjack Soirée 4","PT","17","https://pub.imgscache.com/compic/d86a6835-794a-4d9b-b837-d184b929fe9c.webp","images/PT__Blackjack_Soir_e_4__14263.webp"
"14253","bjl;blj_blackjack2","Blackjack 2","PT","17","https://pub.imgscache.com/compic/92fdb0a5-542a-482c-8f5a-42f89048a9d1.webp","images/PT__Blackjack_2__14253.webp"
"14255","bjl;blj_blackjack4","Blackjack 4","PT","17","https://pub.imgscache.com/compic/1af60602-b744-47ac-b919-49d8c880e414.webp","images/PT__Blackjack_4__14255.webp"
"14256","bjl;blj_blackjack5","Blackjack 5","PT","17","https://pub.imgscache.com/compic/b8c690bd-f78c-4bdf-9a51-9eee4d6a34c4.webp","images/PT__Blackjack_5__14256.webp"
"14258","bjl;blj_blackjack7","Blackjack 7","PT","17","https://pub.imgscache.com/compic/0d756c42-2f6e-461f-be1e-4525a302474b.webp","images/PT__Blackjack_7__14258.webp"
"14259","bjl;blj_blackjack8","Blackjack 8","PT","17","https://pub.imgscache.com/compic/6c128869-a159-46ba-b626-cd373a25f2e5.webp","images/PT__Blackjack_8__14259.webp"
"14260","bjl;blj_blackjack9","Blackjack 9","PT","17","https://pub.imgscache.com/compic/27cbda99-ef98-4d1b-a5fb-31d9d2674275.webp","images/PT__Blackjack_9__14260.webp"
"14279","sbjl;sbjl_peruspeedbj2","Speed Blackjack 2","PT","17","https://pub.imgscache.com/compic/dbdd084f-360e-436f-9d4d-77c8d33847a2.webp","images/PT__Speed_Blackjack_2__14279.webp"
"14280","sbjl;sbjl_peruspeedbj3","Speed Blackjack 3","PT","17","https://pub.imgscache.com/compic/d0640fb4-c86e-432b-8702-8d3b23db831e.webp","images/PT__Speed_Blackjack_3__14280.webp"
"14282","sbrol;sbrol_stickybanditsrol","Sticky Bandits Roulette Live","PT","17","https://pub.imgscache.com/compic/63d28585-6d16-4512-a620-208c87e855b2.webp","images/PT__Sticky_Bandits_Roulette_Live__14282.webp"
"14281","sprol;sprol_perspreadbetrol","Spread Bet Roulette","PT","17","https://pub.imgscache.com/compic/8fc474a2-90e7-42ce-bf43-4ec4200ac840.webp","images/PT__Spread_Bet_Roulette__14281.webp"
"13193","Monaco","Marble 5vs5: Monaco","GEMH","3","https://pub.imgscache.com/compic/6d478f75-c20f-41d4-8773-47fd47d32d2c.webp","images/GEMH__Marble_5vs5_Monaco__13193.webp"
"13293","110175","Lucky Card","EVOPLAY","5","https://pub.imgscache.com/compic/d17cc930-ab11-416e-b379-bcf6ddd5a886.webp","images/EVOPLAY__Lucky_Card__13293.webp"
