id,name,provider,rank,categories,imageUrl,localImage
"2070","Sweet Magic","JILI","2153","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/394.webp","images/JILI__Sweet_Magic__2070.webp"
"2071","Fortune Coins 2","","2154","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3001_573_h5_260701201858.webp","images/unknown__Fortune_Coins_2__2071.webp"
"2072","Crazy777 2","JILI","2155","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/504.webp","images/JILI__Crazy777_2__2072.webp"
"2073","Vampy Party","PP","2156","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vswayswbounty.webp","images/PP__Vampy_Party__2073.webp"
"2074","Spaceman","PP","2157","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/1301.webp","images/PP__Spaceman__2074.webp"
"2075","Big Bass Crash","PP","2158","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/1320.webp","images/PP__Big_Bass_Crash__2075.webp"
"2076","Yeti Quest","PP","2159","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs20mesmult.webp","images/PP__Yeti_Quest__2076.webp"
"2077","Dwarf &amp; Dragon","PP","2160","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vswaysspltsym.webp","images/PP__Dwarf_amp_Dragon__2077.webp"
"2078","Joker’s Jewels Wild","PP","2161","Slots","https://cp-images.casinoplus.live/images/cpms/pp/mobile/vs5jjwild.webp","images/PP__Joker_s_Jewels_Wild__2078.webp"
"2079","Fortune Treasure","","2164","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1003.webp","images/unknown__Fortune_Treasure__2079.webp"
"2080","Light of Apollo","","2165","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1047.webp","images/unknown__Light_of_Apollo__2080.webp"
"2081","Pirate Legends","","2166","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1048.webp","images/unknown__Pirate_Legends__2081.webp"
"2082","Magical Alchemist","","2167","High Cash Rebate|Slots","https://cp-images.casinoplus.live/images/cpms/26-07/3089_1049_h5_260701202259.webp","images/unknown__Magical_Alchemist__2082.webp"
"2083","Dragon Gems Super Buy","","2168","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1052.webp","images/unknown__Dragon_Gems_Super_Buy__2083.webp"
"2084","Ocean Phoenix","","2169","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/2001.webp","images/unknown__Ocean_Phoenix__2084.webp"
"2085","Money Blast","","2170","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/4003.webp","images/unknown__Money_Blast__2085.webp"
"2086","Diamond Mines","","2171","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/4002.webp","images/unknown__Diamond_Mines__2086.webp"
"2087","Crazy Color","","2172","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/4001.webp","images/unknown__Crazy_Color__2087.webp"
"2088","Fortune X Ace","","2173","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3089/h5/1053.webp","images/unknown__Fortune_X_Ace__2088.webp"
"2089","The Guard","","2174","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A003.webp","images/unknown__The_Guard__2089.webp"
"2090","Dragon &amp; Tiger","","2175","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A004.webp","images/unknown__Dragon_amp_Tiger__2090.webp"
"2091","Red Chamber","","2176","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A008.webp","images/unknown__Red_Chamber__2091.webp"
"2092","Red Dragon","","2177","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A011.webp","images/unknown__Red_Dragon__2092.webp"
"2093","Baccarat Deluxe","PG","2178","Slots","https://cp-images.casinoplus.live/images/cpms/pg/h5/31.webp","images/PG__Baccarat_Deluxe__2093.webp"
"2094","Poker King","JILI","2180","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/113.webp","images/JILI__Poker_King__2094.webp"
"2095","Win Drop","JILI","2182","Slots","https://cp-images.casinoplus.live/images/cpms/jili/mobile/179.webp","images/JILI__Win_Drop__2095.webp"
"2096","Lucky 9","FC","2184","Slots","https://cp-images.casinoplus.live/images/cpms/fc/mobile/n28001.webp","images/FC__Lucky_9__2096.webp"
"2097","Super Color Game","FC","2185","Slots","https://cp-images.casinoplus.live/images/cpms/fc/mobile/n27007.webp","images/FC__Super_Color_Game__2097.webp"
"2098","Bikini Chaser","","2187","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A013.webp","images/unknown__Bikini_Chaser__2098.webp"
"2099","North South Lions","","2188","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A017.webp","images/unknown__North_South_Lions__2099.webp"
"2100","Cheung Po Tsai","","2189","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A018.webp","images/unknown__Cheung_Po_Tsai__2100.webp"
"2101","Golden Chicken","","2190","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A020.webp","images/unknown__Golden_Chicken__2101.webp"
"2102","Prosperity Tree","","2191","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A023.webp","images/unknown__Prosperity_Tree__2102.webp"
"2103","The Masked Prince","","2192","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A032.webp","images/unknown__The_Masked_Prince__2103.webp"
"2104","Sparta","","2193","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A038.webp","images/unknown__Sparta__2104.webp"
"2105","Vanessa","","2194","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A046.webp","images/unknown__Vanessa__2105.webp"
"2106","Chang Thai","","2195","Slots","https://cp-images.casinoplus.live/images/cpms/ALL_GAME/3083/EG-SLOT-A047.webp","images/unknown__Chang_Thai__2106.webp"
